"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","Age","Debates","Private Member Bills","Questions","Attendance","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"Bhakta Charan Das","Elected","18/05/2009","In office","Orissa","Kalahandi","Indian National Congress","Male","Graduate","B.A., LL.B.; Educated at Government College, Bhawanipatna, Kalahandi, Orissa and L. R. Law College, Sambalpur (Orissa) ",53,39,1,184,"89%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",19.8190218132299,83.1596693527253,-83.1596693527253
"Bharat Ram Meghwal","Elected","18/05/2009","In office","Rajasthan","Ganganagar","Indian National Congress","Male","Graduate","B.A., B.Ed.; Educated at Rajasthan University, Jaipur and Kota",56,13,0,150,"91%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",29.4551170904928,73.4809781035064,-73.4809781035064
"Bharatsinh Madhavsinh Solanki","Elected","18/05/2009","In office","Gujarat","Anand","Indian National Congress","Male","Graduate","B.E. (Civil); Educated at Birla Vishwakarma Mahavidyalay",58,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",31.5692252445246,74.9454663389153,-74.9454663389153
"Bhartruhari Mahtab","Elected","18/05/2009","In office","Orissa","Cuttack","Biju Janata Dal","Male","Post Graduate","M.A. (English); Educated at Utkal University, (Orissa) ",54,182,0,231,"93%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",20.369460346215,85.5677666737321,-85.5677666737321
"Bhavana Pundlikrao Gawali Patil","Elected","18/05/2009","In office","Maharashtra","Yavatmal-Washim","Shiv Sena","Female","Graduate","B.A. (Marathi); Educated at Amravati University, Amravati (Maharashtra) ",40,15,0,257,"68%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",20.0638892867973,78.2184723916635,-78.2184723916635
"Bhismashankar, Alias Kushal Tiwari","Elected","18/05/2009","In office","Uttar Pradesh","Sant Kabir Nagar","Bahujan Samaj Party","Male","Inter/ Higher Secondary",,51,33,0,352,"79%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",26.7576306851043,83.0279257302098,-83.0279257302098
"Bhola Singh","Elected","18/05/2009","In office","Bihar","Nawada","Bharatiya Janata Party","Male","Doctorate","M.A., Ph.D.; Educated at Patna University and Lalit Narayan Mithila University, Darbhanga, Bihar",77,84,3,273,"94%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",24.8189078867111,85.6637695087521,-85.6637695087521
"Bhoopendra Singh","Elected","18/05/2009","In office","Madhya Pradesh","Sagar","Bharatiya Janata Party","Male","Graduate","L.L.B.; Educated at Sagar University (Madhya Pradesh) ",52,22,0,451,"76%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",23.8094021377708,78.7055385333224,-78.7055385333224
"Bhudeo Choudhary","Elected","18/05/2009","In office","Bihar","Jamui","Janata Dal (United)","Male","Graduate","B.A., LL.B.; Educated at T.N.V. Law College, Bhagalpur",52,25,0,293,"87%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",22.3125897627822,69.8003537883374,-69.8003537883374
"Bibhu Prasad Tarai","Elected","18/05/2009","In office","Orissa","Jagatsinghpur","Communist Party of India","Male","Post Graduate","M.A., LL.B.; Madhusudan Law College, Cuttack and Utkal University, Bhubaneshwar, Orissa",48,16,0,169,"84%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",20.1821919400466,86.4004594290151,-86.4004594290151
"Bijoy Krishna Handique","Elected","18/05/2009","In office","Assam","Jorhat","Indian National Congress","Male","Post Graduate","M.A.; Educated at Calcutta University, Calcutta (West Bengal) ",77,0,0,1,"90%","This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.6,0.2,95,"77%",7.9,0.3,28,"81%",26.7650674197179,94.282508096614,-94.282508096614
"Bijoya Chakravarty","Elected","18/05/2009","In office","Assam","Gauhati","Bharatiya Janata Party","Female","Post Graduate","M.A. (English); Educated at Guwahati University, Guwahati, Assam and Banaras Hindu University, Varanasi (Uttar Pradesh) ",72,30,4,43,"86%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",16.2,0.5,59,"81%",29.8806543758791,78.7141434517167,-78.7141434517167
"Biren Singh Engti","Elected","18/05/2009","In office","Assam","Autonomous District","Indian National Congress","Male","Post Graduate","M.A., LL.B.; Educated at Guwahati University, Assam",67,1,0,0,"95%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",16.2,0.5,59,"81%",20.0244115919778,75.2429987998096,-75.2429987998096
"Bishnu Pada Ray","Elected","18/05/2009","In office","Andaman and Nicobar Islands","Andaman and Nicobar Islands","Bharatiya Janata Party","Male","Graduate","B.Com. (Hons.); Educated at Andamohan College, Calcutta, West Bengal",62,68,1,169,"76%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",68,1,169,"76%",33.8355101108237,75.0422212721409,-75.0422212721409
"Brij Bhushan Sharan Singh","Elected","18/05/2009","In office","Uttar Pradesh","Kaiserganj","Samajwadi Party","Male","Post Graduate","M.A., LL.B.; Educated at Saket Mahavidyalay, Avadh University, Faizabad (Uttar Pradesh) ",55,19,0,155,"87%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",24.9746499854372,83.6123570082876,-83.6123570082876
"C. L. Ruala","Elected","18/05/2009","In office","Mizoram","Mizoram","Indian National Congress","Male","Post Graduate","B.A., B.T.; Educated at St. Edmund`s college Shillong, Gauhati University",76,2,0,10,"97%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",2,0,10,"97%",24.9349957527882,82.6340025713671,-82.6340025713671
"C. M. Chang","Elected","18/05/2009","In office","Nagaland","Nagaland","Nagaland People's Front","Male","Graduate","B.A; Educated at High School, Mokochung, Nagaland and St. Edmund`s College Shillong, Guwahati University",69,1,0,32,"92%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",1,0,32,"92%",23.4875240947281,88.4704983806021,-88.4704983806021
"C. P. Joshi","Elected","18/05/2009","In office","Rajasthan","Bhilwara","Indian National Congress","Male","Doctorate","M.Sc. (Physics.), M.A. (Psychology), L.LB. Ph.D.; Educated at M.B. College, Udaipur, Rajasthan",62,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",25.4883295963762,74.7384457440667,-74.7384457440667
"C. R. Patil","Elected","18/05/2009","In office","Gujarat","Navsari","Bharatiya Janata Party","Male","Certificate Course","I.T.I; Educated at Industrial Training Institute, Surat",57,18,2,307,"84%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",30.1,1,276,"80%",20.825524410746,73.1105562108831,-73.1105562108831
"C. Rajendran","Elected","18/05/2009","In office","Tamil Nadu","Chennai South","All India Anna Dravida Munnetra Kazhagam","Male","Graduate","B.A., B.L.; Educated at Madras Law College",52,30,0,242,"71%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",13.0568718394622,80.2444751347471,-80.2444751347471
"C. Sivasami","Elected","18/05/2009","In office","Tamil Nadu","Tiruppur","All India Anna Dravida Munnetra Kazhagam","Male","Post Graduate","M.A.; Madurai Kamraj University (Tamil Nadu) ",55,47,0,455,"68%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",8.7795468016389,77.5625727701772,-77.5625727701772
"Chandra Sekhar Kalva Kuntla Rao","Elected","18/05/2009","In office","Andhra Pradesh","Mahabubnagar","Telangana Rashtra Samithi","Male","Post Graduate","M.A. (Litt); Educated at Osmania University, Hyderabad, Andhra Pradesh",58,2,0,0,"10%","Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",9.9358359804006,77.968039832471,-77.968039832471
"Chandrakant Bhaurao Khaire","Elected","18/05/2009","In office","Maharashtra","Aurangabad","Shiv Sena","Male","Graduate","B.Sc. (1st Year), Diploma in Personnel Management; Educated at Marathawada University, Aurangabad, Maharashtra",60,31,1,533,"70%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",20.0244115919778,75.2429987998096,-75.2429987998096
"Chandresh Kumari Katoch","Elected","18/05/2009","In office","Rajasthan","Jodhpur","Indian National Congress","Female","Under Graduate","Educated at Nazrath Convent School, St. Mary`s School, Puna, St. Hildas School, Ooty Educated at St. Hildas-Ooty",68,5,0,41,"78%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",26.735661605673,72.8308827918721,-72.8308827918721
"Chandu Lal Sahu","Elected","18/05/2009","In office","Chhattisgarh","Mahasamund","Bharatiya Janata Party","Male","Graduate","B.Com., LL.B.; Educated at Rajiv Lochan College, Rajim and; Durga College, Raipur",53,12,0,57,"83%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",9.6,0.3,120,"64%",21.1875263478388,82.6366939631554,-82.6366939631554
"Charan Das Mahant","Elected","18/05/2009","In office","Chhattisgarh","Korba","Indian National Congress","Male","Doctorate","M.Sc., M.A., LL.B., Ph.D.; Educated at Motilal Vigyan Mahavidhyalay, Bhopal University and Barkatulla University, Bhopal (Madhya Pradesh) ",57,15,0,132,"93%","This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",15.8,0.4,119,"77%",5.8,0.3,55,"64%",18.7382950339778,82.7516103400711,-82.7516103400711
"Charles Dias","Nominated","18/09/2009","In office",,,"Indian National Congress","Male","Doctorate","M.A., Ph.D, Diploma in Office Management, Diploma in Personnel Management and Diploma in Labour Law; Educated at University of Calicut and Annamalai University",62,51,0,71,"99%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",24.8,0.5,198,"77%",31.6,0,99,"90%","#N/A","#N/A","#N/A"
"Chaudhary Lal Singh","Elected","18/05/2009","In office","Jammu and Kashmir","Udhampur","Indian National Congress","Male","Graduate","B.A.; Educated at Government Degree College, Kathua,; Jammu and Kashmir",53,71,0,218,"87%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",35.4,0,84,"89%",33.1035289730758,75.0964522255195,-75.0964522255195
"Chinta Mohan","Elected","18/05/2009","In office","Andhra Pradesh","Tirupati","Indian National Congress","Male","Graduate","M.B.B.S; Educated at Srivenkateswara Medical College, Tirupati (Andhra Pradesh) ",57,3,0,18,"79%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",8.7795468016389,77.5625727701772,-77.5625727701772
"Choudhury Mohan Jatua","Elected","18/05/2009","In office","West Bengal","Mathurapur","All India Trinamool Congress","Male","Post Graduate","M.Com.; Educated at Kolkata University",74,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",27.5989904536289,77.6227243656068,-77.6227243656068
"D. Napoleon","Elected","18/05/2009","In office","Tamil Nadu","Perambalur","Dravida Munnetra Kazhagam","Male","Graduate","B.A. (History); Educated at St. Joseph's College, Trichy",48,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",11.2012817251836,79.0733313917575,-79.0733313917575
"D.B. Chandre Gowda","Elected","18/05/2009","In office","Karnataka","Bangalore North","Bharatiya Janata Party","Male","Post Graduate","B.Sc, LL.B., Educated at Mudigere High School, Intermediate College Chikmagalur, Renukacharya College, Bangalore and R. L. Law College, Belgaum",76,7,0,482,"61%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",12.8723208037701,77.5190177676571,-77.5190177676571
"D.V. Sadananda Gowda","Elected","18/05/2009","29-12-2011","Karnataka","Udupi Chikmagalur","Bharatiya Janata Party","Male","Graduate","B.Sc., L.L.B.; Educated at St. Phelomena College, Puttur, Dakshina Kannada, Karnataka and Vaikunta Baliga Law Collge, Udupi",59,17,0,72,"42%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",21.1,0.4,163,"77%",9.9,0.2,181,"70%",13.4842799180344,74.891111229887,-74.891111229887
"Daggubati Purandeswari","Elected","18/05/2009","In office","Andhra Pradesh","Visakhapatnam","Indian National Congress","Female","Graduate","B.A. (Literature) and Graduate in Gemology; Educated at South Indian Educational Trust and; Women College (Chennai) and Gemological Institute of India",53,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",17.8971201272267,82.6787270576944,-82.6787270576944
"Danapal Venugopal","Elected","18/05/2009","In office","Tamil Nadu","Tiruvannamalai","Dravida Munnetra Kazhagam","Male","Inter/ Higher Secondary","Educated at Danish Mission High School, Tiruvannamalai, Tamil Nadu",80,24,0,5,"65%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",12.4259975606093,79.1950310329578,-79.1950310329578
"Dara Singh Chauhan","Elected","18/05/2009","In office","Uttar Pradesh","Ghosi","Bahujan Samaj Party","Male","Graduate",,49,99,0,81,"92%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",25.6001871669462,83.5141306517735,-83.5141306517735
