"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","age","Age","Debates","DebatesFormula","debates","Private Member Bills","Private Member BillsFormula","private member bills","Questions","QuestionFormula","questions","Attendance","attendance","AttendanceFormula","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"Basori Singh Masram","Elected","18/05/2009","In office","Madhya Pradesh","Mandla","Indian National Congress","Male","Under Matric","Educated at Higher Secondary School, Bichhiya and Middle School, Tatri, Distt. Mandla, Madhya Pradesh",66,66,1,16,16,0,2,2,10,95,95,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",22.787412,80.4286613621329,-80.428661
"Basudeb Acharia","Elected","18/05/2009","In office","West Bengal","Bankura","Communist Party of India (Marxist)","Male","Post Graduate","M.A., B.T.; Educated at Ranchi University, Ranchi, Bihar and Calcutta University, Calcutta, West Bengal",70,70,117,132,132,6,8,8,174,259,259,"88%",1.08,1.08," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",23.13316,87.1883074098803,-87.188307
"Beni Prasad Verma","Elected","18/05/2009","In office","Uttar Pradesh","Gonda","Indian National Congress","Male","Graduate","B.A., LL.B.; Educated at Lucknow University, Lucknow, Uttar Pradesh",71,71,2,17,17,0,2,2,0,85,85,"99%",1.19,1.19,"This MP was appointed a minister in January, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 13th December, 2010. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.4,0.3,103,"77%",15.4,0.2,78,"80%",27.110354,82.0619879605592,-82.061988
"Bhajan Lal","Elected","18/05/2009","03-06-2011","Haryana","Hisar","Haryana Janhit Congress","Male","Inter/ Higher Secondary","Educated at Government College, Bahawal Nagar (Now in Pakistan) ",81,81,0,15,15,0,2,2,0,85,85,"39%",0.59,0.59," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",15.8,0.4,119,"77%",3.9,0,63,"69%",29.263412,75.8439267905676,-75.843927
"Bhakta Charan Das","Elected","18/05/2009","In office","Orissa","Kalahandi","Indian National Congress","Male","Graduate","B.A., LL.B.; Educated at Government College, Bhawanipatna, Kalahandi, Orissa and L. R. Law College, Sambalpur (Orissa) ",53,53,39,54,54,1,3,3,184,269,269,"89%",1.09,1.09," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",19.819022,83.1596693527253,-83.159669
"Bharat Ram Meghwal","Elected","18/05/2009","In office","Rajasthan","Ganganagar","Indian National Congress","Male","Graduate","B.A., B.Ed.; Educated at Rajasthan University, Jaipur and Kota",56,56,13,28,28,0,2,2,150,235,235,"91%",1.11,1.11," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",29.455117,73.4809781035064,-73.480978
"Bharatsinh Madhavsinh Solanki","Elected","18/05/2009","In office","Gujarat","Anand","Indian National Congress","Male","Graduate","B.E. (Civil); Educated at Birla Vishwakarma Mahavidyalay",58,58,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",31.569225,74.9454663389153,-74.945466
"Bhartruhari Mahtab","Elected","18/05/2009","In office","Orissa","Cuttack","Biju Janata Dal","Male","Post Graduate","M.A. (English); Educated at Utkal University, (Orissa) ",54,54,182,197,197,0,2,2,231,316,316,"93%",1.13,1.13," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",20.36946,85.5677666737321,-85.567767
"Bhavana Pundlikrao Gawali Patil","Elected","18/05/2009","In office","Maharashtra","Yavatmal-Washim","Shiv Sena","Female","Graduate","B.A. (Marathi); Educated at Amravati University, Amravati (Maharashtra) ",40,40,15,30,30,0,2,2,257,342,342,"68%",0.88,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",20.063889,78.2184723916635,-78.218472
"Bhismashankar, Alias Kushal Tiwari","Elected","18/05/2009","In office","Uttar Pradesh","Sant Kabir Nagar","Bahujan Samaj Party","Male","Inter/ Higher Secondary",,51,51,33,48,48,0,2,2,352,437,437,"79%",0.99,0.99," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",26.757631,83.0279257302098,-83.027926
"Bhola Singh","Elected","18/05/2009","In office","Bihar","Nawada","Bharatiya Janata Party","Male","Doctorate","M.A., Ph.D.; Educated at Patna University and Lalit Narayan Mithila University, Darbhanga, Bihar",77,77,84,99,99,3,5,5,273,358,358,"94%",1.14,1.14," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",24.818908,85.6637695087521,-85.66377
"Bhoopendra Singh","Elected","18/05/2009","In office","Madhya Pradesh","Sagar","Bharatiya Janata Party","Male","Graduate","L.L.B.; Educated at Sagar University (Madhya Pradesh) ",52,52,22,37,37,0,2,2,451,536,536,"76%",0.96,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",23.809402,78.7055385333224,-78.705539
"Bhudeo Choudhary","Elected","18/05/2009","In office","Bihar","Jamui","Janata Dal (United)","Male","Graduate","B.A., LL.B.; Educated at T.N.V. Law College, Bhagalpur",52,52,25,40,40,0,2,2,293,378,378,"87%",1.07,1.07," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",22.31259,69.8003537883374,-69.800354
"Bibhu Prasad Tarai","Elected","18/05/2009","In office","Orissa","Jagatsinghpur","Communist Party of India","Male","Post Graduate","M.A., LL.B.; Madhusudan Law College, Cuttack and Utkal University, Bhubaneshwar, Orissa",48,48,16,31,31,0,2,2,169,254,254,"84%",1.04,1.04," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",20.182192,86.4004594290151,-86.400459
"Bijoy Krishna Handique","Elected","18/05/2009","In office","Assam","Jorhat","Indian National Congress","Male","Post Graduate","M.A.; Educated at Calcutta University, Calcutta (West Bengal) ",77,77,0,15,15,0,2,2,1,86,86,"90%",1.1,1.1,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.6,0.2,95,"77%",7.9,0.3,28,"81%",26.765067,94.282508096614,-94.282508
"Bijoya Chakravarty","Elected","18/05/2009","In office","Assam","Gauhati","Bharatiya Janata Party","Female","Post Graduate","M.A. (English); Educated at Guwahati University, Guwahati, Assam and Banaras Hindu University, Varanasi (Uttar Pradesh) ",72,72,30,45,45,4,6,6,43,128,128,"86%",1.06,1.06," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",16.2,0.5,59,"81%",29.880654,78.7141434517167,-78.714143
"Biren Singh Engti","Elected","18/05/2009","In office","Assam","Autonomous District","Indian National Congress","Male","Post Graduate","M.A., LL.B.; Educated at Guwahati University, Assam",67,67,1,16,16,0,2,2,0,85,85,"95%",1.15,1.15," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",16.2,0.5,59,"81%",20.024412,75.2429987998096,-75.242999
"Bishnu Pada Ray","Elected","18/05/2009","In office","Andaman and Nicobar Islands","Andaman and Nicobar Islands","Bharatiya Janata Party","Male","Graduate","B.Com. (Hons.); Educated at Andamohan College, Calcutta, West Bengal",62,62,68,83,83,1,3,3,169,254,254,"76%",0.96,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",68,1,169,"76%",33.83551,75.0422212721409,-75.042221
"Brij Bhushan Sharan Singh","Elected","18/05/2009","In office","Uttar Pradesh","Kaiserganj","Samajwadi Party","Male","Post Graduate","M.A., LL.B.; Educated at Saket Mahavidyalay, Avadh University, Faizabad (Uttar Pradesh) ",55,55,19,34,34,0,2,2,155,240,240,"87%",1.07,1.07," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",24.97465,83.6123570082876,-83.612357
"C. L. Ruala","Elected","18/05/2009","In office","Mizoram","Mizoram","Indian National Congress","Male","Post Graduate","B.A., B.T.; Educated at St. Edmund`s college Shillong, Gauhati University",76,76,2,17,17,0,2,2,10,95,95,"97%",1.17,1.17," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",2,0,10,"97%",24.934996,82.6340025713671,-82.634003
"C. M. Chang","Elected","18/05/2009","In office","Nagaland","Nagaland","Nagaland People's Front","Male","Graduate","B.A; Educated at High School, Mokochung, Nagaland and St. Edmund`s College Shillong, Guwahati University",69,69,1,16,16,0,2,2,32,117,117,"92%",1.12,1.12," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",1,0,32,"92%",23.487524,88.4704983806021,-88.470498
"C. P. Joshi","Elected","18/05/2009","In office","Rajasthan","Bhilwara","Indian National Congress","Male","Doctorate","M.Sc. (Physics.), M.A. (Psychology), L.LB. Ph.D.; Educated at M.B. College, Udaipur, Rajasthan",62,62,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",25.48833,74.7384457440667,-74.738446
"C. R. Patil","Elected","18/05/2009","In office","Gujarat","Navsari","Bharatiya Janata Party","Male","Certificate Course","I.T.I; Educated at Industrial Training Institute, Surat",57,57,18,33,33,2,4,4,307,392,392,"84%",1.04,1.04," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","29/01/1900",1,276,"80%",20.825524,73.1105562108831,-73.110556
"C. Rajendran","Elected","18/05/2009","In office","Tamil Nadu","Chennai South","All India Anna Dravida Munnetra Kazhagam","Male","Graduate","B.A., B.L.; Educated at Madras Law College",52,52,30,45,45,0,2,2,242,327,327,"71%",0.91,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",13.056872,80.2444751347471,-80.244475
"C. Sivasami","Elected","18/05/2009","In office","Tamil Nadu","Tiruppur","All India Anna Dravida Munnetra Kazhagam","Male","Post Graduate","M.A.; Madurai Kamraj University (Tamil Nadu) ",55,55,47,62,62,0,2,2,455,540,540,"68%",0.88,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",8.779547,77.5625727701772,-77.562573
"Chandra Sekhar Kalva Kuntla Rao","Elected","18/05/2009","In office","Andhra Pradesh","Mahabubnagar","Telangana Rashtra Samithi","Male","Post Graduate","M.A. (Litt); Educated at Osmania University, Hyderabad, Andhra Pradesh",58,58,2,17,17,0,2,2,0,85,85,"10%",0.3,0.3,"Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",9.935836,77.968039832471,-77.96804
"Chandrakant Bhaurao Khaire","Elected","18/05/2009","In office","Maharashtra","Aurangabad","Shiv Sena","Male","Graduate","B.Sc. (1st Year), Diploma in Personnel Management; Educated at Marathawada University, Aurangabad, Maharashtra",60,60,31,46,46,1,3,3,533,618,618,"70%",0.9,0.9," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",20.024412,75.2429987998096,-75.242999
"Chandresh Kumari Katoch","Elected","18/05/2009","In office","Rajasthan","Jodhpur","Indian National Congress","Female","Under Graduate","Educated at Nazrath Convent School, St. Mary`s School, Puna, St. Hildas School, Ooty Educated at St. Hildas-Ooty",68,68,5,20,20,0,2,2,41,126,126,"78%",0.98,0.98," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",26.735662,72.8308827918721,-72.830883
"Chandu Lal Sahu","Elected","18/05/2009","In office","Chhattisgarh","Mahasamund","Bharatiya Janata Party","Male","Graduate","B.Com., LL.B.; Educated at Rajiv Lochan College, Rajim and; Durga College, Raipur",53,53,12,27,27,0,2,2,57,142,142,"83%",1.03,1.03," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",9.6,0.3,120,"64%",21.187526,82.6366939631554,-82.636694
"Charan Das Mahant","Elected","18/05/2009","In office","Chhattisgarh","Korba","Indian National Congress","Male","Doctorate","M.Sc., M.A., LL.B., Ph.D.; Educated at Motilal Vigyan Mahavidhyalay, Bhopal University and Barkatulla University, Bhopal (Madhya Pradesh) ",57,57,15,30,30,0,2,2,132,217,217,"93%",1.13,1.13,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",15.8,0.4,119,"77%",5.8,0.3,55,"64%",18.738295,82.7516103400711,-82.75161
"Charles Dias","Nominated","18/09/2009","In office",,,"Indian National Congress","Male","Doctorate","M.A., Ph.D, Diploma in Office Management, Diploma in Personnel Management and Diploma in Labour Law; Educated at University of Calicut and Annamalai University",62,62,51,66,66,0,2,2,71,156,156,"99%",1.19,1.19," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",24.8,0.5,198,"77%",31.6,0,99,"90%",5.11,100.38,"#N/A"
"Chaudhary Lal Singh","Elected","18/05/2009","In office","Jammu and Kashmir","Udhampur","Indian National Congress","Male","Graduate","B.A.; Educated at Government Degree College, Kathua,; Jammu and Kashmir",53,53,71,86,86,0,2,2,218,303,303,"87%",1.07,1.07," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",35.4,0,84,"89%",33.103529,75.0964522255195,-75.096452
"Chinta Mohan","Elected","18/05/2009","In office","Andhra Pradesh","Tirupati","Indian National Congress","Male","Graduate","M.B.B.S; Educated at Srivenkateswara Medical College, Tirupati (Andhra Pradesh) ",57,57,3,18,18,0,2,2,18,103,103,"79%",0.99,0.99," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",8.779547,77.5625727701772,-77.562573
"Choudhury Mohan Jatua","Elected","18/05/2009","In office","West Bengal","Mathurapur","All India Trinamool Congress","Male","Post Graduate","M.Com.; Educated at Kolkata University",74,74,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",27.59899,77.6227243656068,-77.622724
"D. Napoleon","Elected","18/05/2009","In office","Tamil Nadu","Perambalur","Dravida Munnetra Kazhagam","Male","Graduate","B.A. (History); Educated at St. Joseph's College, Trichy",48,48,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",11.201282,79.0733313917575,-79.073331
"D.B. Chandre Gowda","Elected","18/05/2009","In office","Karnataka","Bangalore North","Bharatiya Janata Party","Male","Post Graduate","B.Sc, LL.B., Educated at Mudigere High School, Intermediate College Chikmagalur, Renukacharya College, Bangalore and R. L. Law College, Belgaum",76,76,7,22,22,0,2,2,482,567,567,"61%",0.81,0.81," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",12.872321,77.5190177676571,-77.519018
"D.V. Sadananda Gowda","Elected","18/05/2009","29-12-2011","Karnataka","Udupi Chikmagalur","Bharatiya Janata Party","Male","Graduate","B.Sc., L.L.B.; Educated at St. Phelomena College, Puttur, Dakshina Kannada, Karnataka and Vaikunta Baliga Law Collge, Udupi",59,59,17,32,32,0,2,2,72,157,157,"42%",0.62,0.62," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",21.1,0.4,163,"77%",9.9,0.2,181,"70%",13.48428,74.891111229887,-74.891111
